glosa,english
examina,examine; consider; examination; inspect; interview; investigate; probe; survey; test 
excele,excel; excellent 
excesi,excess; excessive; too (in a too high degree); very ((almost) too much) 
excite,excite; exciting; thrill 
excite viagia,adventure 
exempla,example; instance; pattern; sample; specimen 
exercise,exercise; drill (training); practice; train (practice) 
existe,available; exist; existence; extant 
exklude,exclude; exclusive; except 
expande,expand; expansion 
expande-lo,expanse 
expekta,expect 
experi,experience (n); experience (v) 
experimenta,experiment 
explika,explain; explanation; explicate 
explode,explode; burst; explosion 
exporta,export 
expresi,express; expression; utter (speak) 
extende,extend; spread 
extra,external; beside; out of; outdoor; outdoors; outer; outside; outward; outwardly; outwards 
extra landa,abroad 
extra-ve,coat 
(-)fa,set (n); bundle; group; bunch; cluster; sheaf 
faba,bean 
face,make; build; commit; construct; execute; forge (v); making; manufacture; produce (make) 
face-do,factory 
facia,face; features; surface 
facili,easy 
faktu,fact; factual 
fali,fail; failure 
fals akti,fraud 
falsi,false; wrong; cheat; deceit; deceive; dummy; fraud; lie (untruth); mistake; sham; treacherous; untruth 
fami,hunger; hungry 
famili,family; familiar 
famina,famine; hunger; starve 
famo,fame; famous; noted; prominent (famous); renown; reputation; well-known 
farina,dust; flour; powder 
fata,fate; destiny; lot (destiny) 
fatiga,bore (tire); fatigue; haggard; tire (v); tired; weary 
fatuo,absurd; dull (stupid); foolish; silly 
favo,favor; favour; favorable; favourable; on behalf of ; for (in favour of); partial (favoring); privilege 
fe,she; her; hers; female; woman 
fe-bovi,cow 
fe-fili,daughter 
fe-galina,hen 
fe-regi,queen 
fe-sibi,sister 
fe-sponsa,wife 
febri,fever 
feli,cat; feline 
femina,female; woman 
fenestra,window; window (computer) 
feno,seem; apparent; appear; appearance; look like (seem) 
feri,fairy 
feria,fair (bazaar); holiday; vacation 
fero,carry; bear (carry); convey; transfer; transport 
fero ci,bring 
fero-pe,carrier; porter 
fertili,fertile; dung (v); fertilize; manure (v); productive 
feru,ferrous; iron 
feru-via,railway 
festa,feast; festival; festive; festivity; fete; holiday; party 
(-)fi,thread; wire; filament; fiber; fibre; strand; string; strip (of something); yarn 
fibri,fibre 
fide,confide; confidence; confident; entrust; faith; fidelity; loyal; loyalty; trust (confide) 
figura,figure 
fikti,fiction; fictional; form (v); pretend; shape (v) 
fili,offspring; daughter (or son); son (or daughter); child (son or daughter) 
filtra,filter 
fini,finish; end; abort; aim; complete; conclude; deadline; final; finally; goal; terminate 
fisika,nature; physics 
fiska,fiscal; tax 
fisu,crack (split); fissure; schism; split 
fixa,fix; firm; clasp; record (v); solidify; splint; tight 
fla,blow (air); draught; inflate; puff 
flaci,flaccid; floppy; weak; droop; lax; limp; slack 
flagela,whip; lash 
flama,flame; flare 
flasc,flash; lightning 
flavoro,flavor; flavour 
flexi,bend; bend (v); curve (v); flex 
flori,flower; bloom; flourish 
flu,flow; current; flood; fluent; fluid; flux; running; stream (v) 
fluvi,river 
fo(-) (short form of forti),intense; strong; tight (strong); very; vivid 
fo tekno,brilliant (intelligent) 
fo-amo,adoration; enjoy; fond 
fo-klina,steep 
fo-mega,huge; immense; monster; vast 
fo-soni,bang (sound); blare; loud 
fo-tenta,effort; exert 
fo-valu,precious 
fo-voci,scream 
fo-volu,desire; ambition; appetite; long (v) for; yearn 
fobo,fear; phobia; alarm; dismay; dread; fright; horror 
fobo-pe,coward 
folia,foliage; leaf 
fonda,background 
fono,-phone; sound (acoustic); aloud; voice 
fonta,fountain; source; spring (source); well (water) 
fora,"hole; bore (hole); drill (v, make holes); leak; perforate; pierce; puncture "
fora-ru,borer; drill (tool) 
forma,form; shape; forge; mold; mould; sculpture 
formali,formal 
formika,ant 
formula,formula; prescription; recipe 
forti (or short form fo),intense; strong; tight (strong); very; vivid 
fortuna,chance; casual; destiny; fate; fortune; likelihood; luck; probability; random 
fosi,dig; cavity; ditch; hole; moat; pit 
foto,light (n); light (v); bright; illuminate; photo- (light) 
fotografi,photograph 
fragma,barrier; hedge; enclosure (fences); fence; partition 
frakti,break; fracture; interrupt 
frase,sentence; phrase; speak 
freqe,frequent; often; frequency 
fresko,fresh; freshen; ventilation 
fria,crumble; smash 
frigi,cold; chill 
frigi-tem,winter 
frika,friction; rub (friction); wipe; graze; scrape 
fronta,brow (forehead); forehead; front 
frukti,fruit 
frustra,frustrate; disappoint; disappointment; disillusion; frustration 
fu,will (future tense); adjourn; future; postpone; shall (future tense); 'll (future tense); be going to (future tense) 
fu-di,tomorrow 
fugi,flee; escape; run away 
fumi,fume; smoke 
fumi-tubi,chimney; smokestack 
funda,bottom; found (v); base; depth; foot (lowest part); foundation; ground 
funktio,function; useful; operate; operation; work (have the desired function) 
furka,fork; branch off; pitchfork 
furna,oven; bake; furnace; heater; stove 
fusi,pour; fuse; melt; shed (liquid); smelt (melt); spill 
fusili,gun; shoot; discharge (fire); fire (shoot); rifle 
galina,chicken; fowl 
game,marry; marriage; wed 
game-ritu,wedding 
gasi,gas; air 
gastro,stomach 
ge-face,artificial; made (participle of to make) 
u ge-face,produce (n) 
ge-face ex,consist 
ge-favo,favorite; favourite 
ge-fixa tem,term 
ge-flexi,bent; curved 
ge-frakti,broken 
ge-grafo akorda,contract 
ge-klavi,closed (locked); shut (closed); locked 
ge-mixa,mixed 
ge-nati,born 
ge-place,content 
ge-publika-ra,publication 
gele,jelly 
geli,freeze; ice (v) 
gema,bud; gem; jewel 
gene,become; get (obtain); receive; get (become); get (passive); gets (tense); getting; access (get); accomplish; acquire; come to be; gain; obtain; procure; turn into 
gene ma-boni,reform 
generali,general; generalize; universal 
geneti,genetic; inherit; hereditary 
gentili,gentle; kind; kindly; mild 
genu,knee; knee-joint 
geo,earth 
gina,woman; female; gyna-; lady; wife 
gipso,chalk; plaster 
gira,gyrate; rotate; whirl; revolve; spin; turn; twirl 
glabro,glabrous; smooth 
glacia,glacial; ice; icy 
gladia,sword 
glisa,glide; slip; slide; lapse; skate (on ice); skid; skim 
globula,bead 
glori,glory 
glosa,tongue; lick; language 
glu,glue; lime; stick (glue); size (glue) 
gluko,sweet; nice; comfortable; gentle; gentleness; lovely; pleasant; soft; softness; sweetness; tender; tenderness 
gluto,gulp; swallow; greedy 
gono,angle; corner; vertex 
gra,grass; fodder; lawn; turf 
gradu,degree; step; at the same time as; grade; pace; stride 
grafo,write; draw (sketch); design; script; sketch (draw); writing 
grafo-ru,pen; pencil 
grama,letter (mail); missive 
grama-ve,envelope 
gramatika,grammar 
grana,grain; corn; seed 
grandi,grand; magnificent; noble; stately 
grati,grateful 
gratia,grace; thank; thanks 
gratula,congratulate 
gravi,grave (serious); heavy; serious; especially; important; considerable; impressive; massive; solid 
gravi pro,concern 
grega,group; herd; party (team); party (political); crew; flock; gang; swarm; team 
gresi,walk 
gru,fit; adapt; agree; convenient; fitting; fitting (adj); install; mount; proper; property; relevant; set up; suit (v); suitable 
guarda,guard 
gumi,rubber; caoutchouc; gum; resin 
gusta,taste; taste (test) 
habe,"have (own); have the quality of; has (form of to have, own); has the quality of; 've (short for have, own); own (possess); possess; property (possessions) "
habe epi se,wear 
habe sati tem,afford 
habe sati valuta,afford 
habe-pe,proprietor; owner 
habitu,habit; custom 
harmoni,harmony; agreement; have an agreement ; harmonize 
hedo,fun (feeling); pleasure; gay (happy); glad; glee; good-humoured; happiness; happy; joy; like to; merry; pleasant; pleased; rejoice 
heli,sun; solar 
helika,helix; coil; propeller; spiral 
helikopter,helicopter 
heliku,helix; screw 
hema,blood 
herba,herb; grass; plant (n) 
hero,hero 
hesi,adhesive; stick (join); sticky; adhere; cling; glue (v) 
hetero,different; other; another; differ; difference; else; otherwise 
