glosa,english
tardi,late; delay; slow 
tasa,cup 
taxi,taxi; cab 
taxo,arrange; arrangement; classify; put in order ; order (arrangement); ordain (arrangement) 
te-do,tent 
tea,tea 
teatra,theater; theatre; theatrical 
tegu,cover; casing; ceiling; deck; eclipse; lid (cover); shelter; shutter 
tegula,tile 
teka,box; bin; case (container); chest (box); sheath; teak 
tekno,clever; craft; expert (adj); expertness; know-how; skilful; skill; skilled; skillful; smart (clever); technical; techno- 
tekno-mali,cunning; sly; wily 
tekno-pe,engineer; expert (n) 
tele,far; afar; distance; distant; farther; further; remote 
telefono,telephone 
teleskope,telescope 
televisio,television; TV 
tem,time (period); as (while); at (time); during; for (during); in (during); period; season; while (temporal) 
tem-dona,lease; lend; loan 
tem-gene,borrow; hire 
tem-uti,hire; lease; rent (v) 
tema,theme; subject; thesis; topic 
temperatura,temperature 
tempestu,tempest; storm 
tena,hold; keep; carry (support); clutch; conservation; contain; grip; have (hold); hold together; maintain; preserve; restrain; retain; stock (store); support; sustain; uphold 
tena-mo,cabinet (cupboard); cupboard 
tende,intention; aim; deliberate; goal; for (purpose); in order to; in order that; intend; intended for; intentional; object (purpose); purpose; so that; tend (intention); tendency; that (final conjunction); to (in order to) 
tensio,tension; stretch; span; strain; stretching (n); stress; tense 
tensio a,reach 
tenta,try; attempt; endeavor; endeavour; trial (try); tries (form of to try) 
tenu,fine (thin); lean (thin); taper; thin 
teo,god; theo- 
teori,theory; theoretical; rule (standard) 
tera,earth (the); soil; terrain 
terapi,therapy; cure; treat (therapy); treatment 
teritori,territorial; territory 
termo,hot; heat; fervor; fervour; warm (temperature); warmth 
termo-tem,summer 
testi,witness (v) 
testi-pe,witness (n) 
tetra,four; tetra- 
tetra (after noun),fourth 
texi,dissolution; weave (textile) 
textili,textile; cloth; duster; fabric; rag 
tigri,tiger 
timpani,drum 
tinta,ink; hue (colour); shade (hue); tint 
tintina,ring (sound); tinkle 
tipika,typical 
tipo,type (example); type (class); type (letter); type (write); blow (hit); clash; hit; knock; mark; print; rap; smack; strike; stroke (hit) 
tira (French),drag; pull; tug (pull) 
tira-teka,drawer 
tisu,tissue; cloth; fabric 
titula,title 
tolera,tolerate; patient (adj); abide (endure); bear (endure); endure; patience; be patient ; tolerance; tolerant 
topika,theme; topic 
topo (or short form to),"place (punctiform); at (punctiform location); in (in a punctiform place); local; locale; location (punctiform); position; spot; where (relative, =at which punctiform place) "
toraci,breast; chest (anat) 
tortu,torment; torture; twist (especially if causing pain); wring 
tosto,early; soon 
toxi,poison; poisonous; toxin; venom 
traba,beam (n); girder; rafter 
traditio,tradition 
trakto,attract; pull; drag (v); drag (with computer mouse); draw (pull); tow; tug (pull) 
trakto in,absorb 
trans,across; traverse; horizontal 
translati,translate 
trapa,snare; trap 
trauma,shock; wound 
tremulo,flicker; flutter; quiver; shake; shiver; shudder; tremble 
trena,train (railway) 
tresora,treasure 
tri,three 
tri (after noun),third 
tribu,tribe 
tribuna,court of law; tribunal; platform 
tristi,sad; alas; dismal; grief; lament; melancholy; mourn; sadness; sorrow 
Tritikum,wheat 
tro (French),too (in a too high degree); excessive; undue 
trompa,trunk (animal) 
tropi,turn; revolve; rotate; go round ; spin 
tropika,tropical; tropics; excessive 
tu,you (singular); your (singular); yours (single); thou 
tubi,tube; pipe; conduit; hose; pipeline; the tube (underground) 
tumo,swell (v); bulge; lump (on body); swelling; swollen; tumor; tumour 
tunika,dress; tunic 
turba,disturb; bother; disorder; distress; disturbance; embarass; irritate; trouble; upset (trouble); vex; worry 
turi,tower; turret 
tusi,cough 
"u (before all consonants but h, else =un)",a; an; the; one; any (=a(n)) 
u-ci ('the here'),this 
u-la ('the there'),that (pronoun); yonder 
u-la kron,then 
u-mi,mine 
u-tu,yours (single) 
u-vi,yours (plural) 
ultima,last (ultimate); ultimate; farthest; final; latest (last); utmost 
ultra,beyond; ultra 
umbra,shade; shadow 
"un (before vowels and h, else =u)",a; an; the; one; any (=a(n)) 
unda,wave; undulate; billow 
ungu,nail (finger); hoof; claw; fingernail; talon; ungula 
uniforma,regular; uniform (regular); homogeneous 
unio,meet (by appointment); assemblage; assembly; meeting (by appointment); rendezvous; union; unite 
unita,unit; unity 
universa,universe; universal 
universita,university 
unki,hook 
uno(-),any (any/some); any- (any/some); some; some- 
uno-lo,somewhere 
uno-mode,somehow; someway 
uno-pe,somebody; anybody (somebody); anyone (someone); someone 
uno-ra,"something; anything (=something, a thing, act or quality undefined or unspecified) "
ur(-),original 
urani,heaven; sky 
urba-cefa,mayor 
urge,urge; emergency; press for; press (urge) 
ursu,bear (animal) 
uti,use; have at one's disposal ; employ; treatment; useful; using; utilize 
vaga,wander; ramble; roam; rove 
vagona,car; auto; automobile; carriage; vehicle; wagon 
vagona-do,garage 
vaku,empty; blank; vacancy; vacant; vacuous; vacuum 
vale,farewell; good-bye; goodbye; healthy; be healthy ; well (adj); be well 
vali,valley; vale 
valu,value; deserve; esteem; estimate; merit; reckon (estimate); worth; be worth 
valuta,money; cash; fee; fund 
valva,valve; tap (valve); faucet; leaf (of door) 
vani,vain; arrogant; empty (vain); futile (action without result); pointless; useless; in vain ; vanity; worthless 
vapo,steam; vapor; vapour; evaporate 
vari,vary; change; variance; variation; variety; various; varying 
(-)vasa (in compounds also -va),container; jar; pot (vase); receptacle; tank; vase; vessel (container) 
-ve (short affix form of vesti),clothe; clothing; dress; garment 
vegeta,vegetable 
veli,sail; vane (of windmill) 
vend a non-ami,betray 
vendo,sell; sale 
veni,come; arrival; arrive 
veni a,arrive at; come to; catch up with; overtake; reach 
venti,wind (air); ventilate 
verba,word 
verba-bibli,dictionary 
verba-lista,vocabulary; dictionary 
veri,true; truth; correct; genuine; indeed; sincere; truly 
verifi,check; check (verify); proof; verify; verify (check) 
vermi,worm; vermin 
versi,return; go back; back to begin; back to start; back (reverse); draw back; replace; restore; reversal; reverse; revert; turn; turn around; withdraw 
vespera,evening 
vespera-vora,supper 
vesti,clothe; clothing; dress; garment 
vesti-fa,suit (clothes); costume; kit (clothes) 
veto,forbid; prohibit; prohibition; veto 
vexa,worry; annoy; bother; disturb; molest; nettle (annoy); rile; vex 
vexa-ra,nuisance 
vi,you (plural); your (plural); yours (plural) 
via,way (road); path; road; street; track 
viagia,voyage; journey; travel; tour; trip (journey) 
viagia-pe,passenger; tourist 
vibra,vibrate; shake; swing; vibration 
vice,vice (in place of); instead; instead of; behalf; replace; substitute; your turn 
vide,see (look); look; view; vision 
vigi,awake; wake; alert; wake up; waken 
viki,village; -wick (village) 
viktimi,victim 
vikto,victory; win (victory); conquer; defeat; prevail; vanquish 
vini,wine 
viole,violate; violent; violence; assault; attack; rape 
violina,violin 
visita,visit 
vista,vista; view; visible; outlook; perspective; prospect; scene; scenery; seeing; seen (the); sight; spectacle; view (n) 
vitri,glass 
vive,live; alive; conscious; lively 
vive-ra,being (n); creature 
voci,shout; bark (dog); bawl; bellow; call; call (shout); exclaim; proclaim; roar; scream; screech; yell 
voka,voice; vocal 
vokali,vowel 
vola,fly (v); flight; make haste ; hurry; be quick ; rush 
volu,will; want; desire; be going to ; impulse; intend; need; require; voluntary; willing; willingness; wish 
volu akti,mean (intend to do) 
volu dice,mean (intend to say) 
volumi,volume (space); capacity; room; space; volume (amount) 
vora,eat; devour; meal 
vora mo,breakfast 
vora-do,restaurant 
voti,vote 
vulga,common; ordinary; vulgar 
vulne,wound; injure; injury; lesion 
xanto,yellow; blond; yolk 
xeno,foreign; strange; alien; bizarre; novel (strange); odd (unusual); queer; unusual 
xeno-pe,foreigner 
Zea,cob; maize 
zelo,zeal; zealous; enthusiastic; ardor; eager; enthusiasm; keen 
zero,zero; naught; nil; no; none; nothing; nought; null 
zigo,join (connection); connect; yoke 
zoa,animal; beast 
zoa-eko,den 
zona,zone; belt; ring (circular band); circumference; girdle; hoop 
